"","X","Stationidentifier","Stationnumber","Observationtime","Stationlatitude","Stationlongitude","Stationelevation","Showalterindex","Liftedindex","LIFTcomputedusingvirtualtemperature","SWEATindex","Kindex","Crosstotalsindex","Verticaltotalsindex","Totalstotalsindex","ConvectiveAvailablePotentialEnergy","CAPEusingvirtualtemperature","ConvectiveInhibition","CINSusingvirtualtemperature","EquilibrumLevel","EquilibrumLevelusingvirtualtemperature","LevelofFreeConvection","LFCTusingvirtualtemperature","BulkRichardsonNumber","BulkRichardsonNumberusingCAPV","Temp.K.oftheLiftedCondensationLevel","Pres.hPa.oftheLiftedCondensationLevel","Meanmixedlayerpotentialtemperature","Meanmixedlayermixingratio","X1000hPato500hPathickness","Precipitablewater.mm.forentiresounding","TS"
"784",1,"YBBN",94578,"140125/0000",-27.38,153.13,5,0.8,1.69,1.66,233.79,33.8,19.9,23.1,43,14.44,24.86,-170.38,-146.91,598.36,594.39,693.07,702.01,0.67,1.15,289.97,895.73,299.25,13.65,5756,51.91,0
"785",1,"YBBN",94578,"140126/0000",-27.38,153.13,5,6.96,3.75,3.27,164.2,-9.6,16,20.3,36.3,14.36,21.64,-12.38,-5.21,779.61,779.05,832.13,848.07,3.43,5.16,287.46,902.57,296.01,11.49,5711,25.4,0
"786",1,"YBBN",94578,"140127/0000",-27.38,153.13,5,10.32,7.09,6.67,158.82,-3.6,13.6,16.5,30.1,24.09,33.38,-5.93,-2.66,791.21,790.23,868.14,879.83,3.15,4.37,286.56,898.24,295.49,10.88,5726,24.6,0
"787",1,"YBBN",94578,"140128/0000",-27.38,153.13,5,5.91,5.06,4.6,199.02,-7.7,18.1,18.3,36.4,17.4,21.95,-2.14,-1.77,766.48,764.41,886.19,890.08,11.45,14.45,287.73,916.26,295.02,11.53,5723,28.65,0
"788",1,"YBBN",94578,"140129/0000",-27.38,153.13,5,8.09,7.32,6.89,184.42,-21.1,16.1,16.7,32.8,0.38,1.15,-9.08,-7.09,835.35,816.7,856.86,861.49,0.15,0.45,286.09,893.87,295.42,10.61,5724,25.04,0
"789",1,"YBBN",94578,"140130/0000",-27.38,153.13,5,9.9,9.42,9.05,150.8,-24.1,14.1,16.5,30.6,0.03,0.75,-15.49,-11.03,788.5,788.16,796.26,800.64,0,0.07,282.69,847.1,296.43,8.91,5729,20.51,0
"790",1,"YBBN",94578,"140201/0000",-27.38,153.13,5,8.83,6.91,6.53,126.2,-18.7,14.7,17.7,32.4,0.67,2.45,-20.05,-13.27,819.63,817.33,835.11,841.36,4.85,17.73,285.29,873.44,296.56,10.31,5733,21.96,0
"791",1,"YBBN",94578,"140202/0000",-27.38,153.13,5,9.32,7.64,7.18,166.82,15.2,14,16.3,30.3,1.22,3.35,-24.46,-14.64,820.3,704.36,834.78,845.14,0.29,0.8,286.36,879.14,297.11,10.98,5736,26.82,0
"792",1,"YBBN",94578,"140203/0000",-27.38,153.13,5,10.94,6.52,6.16,121.81,-20.5,12.1,18.1,30.2,0.04,6.28,-18.9,-6.86,814.97,797.29,822.78,852.45,0.01,1.14,285.08,871.55,296.51,10.17,5713,20.26,0
"793",1,"YBBN",94578,"140204/0000",-27.38,153.13,5,8.97,5.78,5.36,125.59,-20.5,13.7,18.7,32.4,9.89,17.7,-26.25,-16.09,756.42,755.56,811.69,828.89,2.33,4.18,286.58,883.15,296.96,11.1,5714,25.83,0
"794",1,"YBBN",94578,"140205/0000",-27.38,153.13,5,9.14,3.96,3.47,132.82,-20.1,13.5,19.5,33,10.22,36.99,-10.14,-2.51,778.18,762.15,845.56,867.68,12.03,43.57,286.93,882.02,297.42,11.37,5705,23.42,0
"795",1,"YBBN",94578,"140206/0000",-27.38,153.13,5,9.58,6.33,6.1,126.01,14,14.4,17.5,31.9,9.08,15.85,0,0,843.4,826.7,898.72,898.72,3.47,6.06,286.3,898.72,295.19,10.7,5692,31.42,0
"796",1,"YBBN",94578,"140207/0000",-27.38,153.13,5,9.28,6.43,6.15,131.22,-15.9,15.1,17.5,32.6,8.48,15.08,-6.8,-2.76,819.76,817.24,864.04,872.16,1.08,1.93,285.2,884.08,295.43,10.11,5700,22.92,0
"797",1,"YBBN",94578,"140208/0000",-27.38,153.13,5,6.91,4.2,3.92,131.4,-10.7,16.7,19.1,35.8,3.36,7.12,-7.58,-4.41,832.97,831.46,863.67,874.48,0.38,0.8,287.2,897.29,296.24,11.37,5734,24.69,0
"798",1,"YBBN",94578,"140210/0000",-27.38,153.13,5,0.11,1.77,1.44,215.41,6.7,22.1,22.5,44.6,3.78,5.81,-3.43,-1.22,457.97,457.34,909.34,915.26,0.65,1,289.48,921.31,296.35,12.85,5744,28.24,0
"799",1,"YBBN",94578,"140211/0000",-27.38,153.13,5,6.23,4.55,4.13,146.39,-1.1,17.5,19.7,37.2,0.12,0.79,-15.27,-10.12,836.97,834.15,845.27,849.28,0.02,0.12,285.32,871.84,296.73,10.33,5726,23.95,0
"800",1,"YBBN",94578,"140213/0000",-27.38,153.13,5,6.57,4.45,3.98,160.99,18.4,16,19.9,35.9,0,0.03,-31.8,-21.86,822.73,822.1,825.74,832.11,0,0,286.91,880.04,297.59,11.38,5731,30.17,0
"801",1,"YBBN",94578,"140216/0000",-27.38,153.13,5,10.64,-0.2,-0.78,46,14.7,3.5,26.5,30,97.9,133.86,-283.46,-201.66,499.41,497.1,649.05,663.26,172.73,236.18,291.56,902.03,300.29,15.02,5784,41.37,0
"802",1,"YBBN",94578,"140217/0000",-27.38,153.13,5,2.8,1.61,1.1,192.4,23.4,17.8,22.7,40.5,3.85,38.09,-205.74,-128.83,558.37,551.03,596.21,667.56,0.42,4.12,289.36,874.08,300.72,13.46,5759,35.81,1
"803",1,"YBBN",94578,"140218/0000",-27.38,153.13,5,0.86,-1.71,-1.98,179.74,33,20.9,23.3,44.2,248.96,336.69,-15.65,-11,311.03,310.3,858.63,876.9,11.94,16.15,292.15,934.18,297.91,15.06,5725,48.27,0
"804",1,"YBBN",94578,"140220/0000",-27.38,153.13,5,3.36,1.01,0.53,216.19,28.9,17.3,21.3,38.6,0,2.28,-48.66,-35.81,565.59,562.91,818.41,828.68,0,0.21,292.08,908.58,300.21,15.42,5795,52.45,0
"805",1,"YBBN",94578,"140221/0000",-27.38,153.13,5,-0.89,-0.75,-1.47,232.6,35.4,21.6,21.9,43.5,23.82,112.33,-7.41,-8.36,237.69,237.46,854.27,854.35,1.4,6.62,293.05,914.33,300.66,16.3,5794,53.19,0
"806",1,"YBBN",94578,"140224/0000",-27.38,153.13,5,6,3.15,2.78,323.52,-20.2,17.8,20.9,38.7,4.34,12.44,-9.66,-3.85,806.7,774.76,850.93,862.06,2.49,7.14,285.55,879.64,296.22,10.41,5696,22.44,0
"807",1,"YBBN",94578,"140225/0000",-27.38,153.13,5,10.93,5.44,4.99,117.58,-13.5,11.7,18.7,30.4,11.14,26.42,-11.72,-2.16,764.28,761.67,807.95,877.67,2.53,6.01,286.28,885.73,296.39,10.84,5694,24.12,0
